Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,11/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,800000
33671,11/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,210000
31216,11/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2180000
33021,11/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7360000
33074,11/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,1610000
33349,11/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33386,11/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,900000
33605,11/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,3470000
33660,11/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7470000
32742,11/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6770000
32720,11/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7390000
33703,11/01/2023,FC Bayern München,Blind,Abwehr,0,-,-,-,8960000
33626,11/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1800000
32187,11/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11890000
33547,11/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,400000
32445,11/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,17040000
33236,11/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18510000
32590,11/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3010000
32272,11/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13820000
32518,11/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8930000
33633,11/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,12530000
31362,11/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11660000
33662,11/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4710000
31165,11/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,16180000
32696,11/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16150000
32638,11/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3740000
32841,11/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,11/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,170000
33396,11/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,180000
33038,11/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7960000
33137,11/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,870000
33259,11/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2070000
33432,11/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,200000
33509,11/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,210000
33567,11/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,11/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5720000
32632,11/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5880000
32556,11/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,270000
31779,11/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,300000
32122,11/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,4060000
32546,11/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,1780000
33690,11/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,220000
33608,11/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,310000
32677,11/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2950000
33497,11/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,11/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1020000
33309,11/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,12870000
32236,11/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,8850000
32208,11/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4480000
33260,11/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9280000
33687,11/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,310000
33575,11/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4700000
33569,11/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3380000
31454,11/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10880000
33501,11/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,3810000
33198,11/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,4460000
32197,11/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3450000
32769,11/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,13250000
32342,11/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1830000
32508,11/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2000000
32007,11/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,170000
33479,11/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,160000
33366,11/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,400000
33369,11/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6730000
33125,11/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,300000
33511,11/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2810000
33481,11/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1140000
32157,11/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2620000
33499,11/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,830000
33207,11/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3290000
33449,11/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,200000
33483,11/01/2023,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,180000
33189,11/01/2023,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,3950000
33614,11/01/2023,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,210000
