Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,09/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,900000
33671,09/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,200000
31216,09/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2120000
33021,09/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7290000
33074,09/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,1890000
33349,09/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33386,09/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,850000
33605,09/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4120000
33660,09/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7310000
32742,09/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6430000
32720,09/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6930000
33703,09/01/2023,FC Bayern München,Blind,Abwehr,0,-,-,-,6600000
33626,09/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1750000
32187,09/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11890000
33547,09/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,410000
32445,09/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16820000
33236,09/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,19060000
32590,09/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2890000
32272,09/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13680000
32518,09/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8800000
33633,09/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,12840000
31362,09/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11680000
33662,09/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4730000
31165,09/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,16210000
32696,09/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16330000
32638,09/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3630000
32841,09/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,09/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,200000
33396,09/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,09/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7660000
33137,09/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,880000
33259,09/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2120000
33432,09/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,220000
33509,09/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,210000
33567,09/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,09/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5780000
32632,09/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5910000
32556,09/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,09/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,09/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3960000
32546,09/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,1940000
33690,09/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,220000
33608,09/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,340000
32677,09/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2800000
33497,09/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,09/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1040000
33309,09/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,12610000
32236,09/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9160000
32208,09/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4350000
33260,09/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,10810000
33687,09/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,340000
33575,09/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4690000
33569,09/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3380000
31454,09/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10480000
33501,09/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,3970000
33198,09/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,4460000
32197,09/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3910000
32769,09/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,12310000
32342,09/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,2000000
32508,09/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,1880000
32007,09/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,170000
33479,09/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,170000
33366,09/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,380000
33369,09/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6660000
33125,09/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,310000
33511,09/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2730000
33481,09/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1090000
32157,09/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2590000
33499,09/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,820000
33207,09/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3310000
33449,09/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,200000
33483,09/01/2023,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,190000
33189,09/01/2023,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,3870000
33614,09/01/2023,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,210000
32512,09/01/2023,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1030000
32395,09/01/2023,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2550000
32155,09/01/2023,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,5090000
32129,09/01/2023,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3680000
33215,09/01/2023,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,15440000
33556,09/01/2023,Bayer Leverkusen,Azmoun,Sturm,10,"1,25",59%,38%,1730000
33619,09/01/2023,Bayer Leverkusen,Hložek,Sturm,31,"2,38",83%,39%,3530000
33514,09/01/2023,Bayer Leverkusen,Adli,Sturm,11,"1,38",83%,37%,1630000
31764,09/01/2023,Bayer Leverkusen,Bellarabi,Sturm,0,"0,00",62%,50%,1320000
33179,09/01/2023,Bayer Leverkusen,Schick,Sturm,22,"2,00",71%,43%,9630000
33122,09/01/2023,Bayer Leverkusen,Diaby,Sturm,78,"5,20",81%,38%,12140000
33680,09/01/2023,Bayer Leverkusen,Hudson-Odoi,Sturm,18,"2,00",88%,58%,4370000
33663,09/01/2023,RB Leipzig,Nickisch,Torwart,0,-,-,-,170000
32575,09/01/2023,RB Leipzig,Gulácsi,Torwart,15,"2,50",85%,-,700000
32481,09/01/2023,RB Leipzig,Nyland,Torwart,5,"5,00",88%,-,250000
33664,09/01/2023,RB Leipzig,Schlieck,Torwart,0,-,-,-,170000
31827,09/01/2023,RB Leipzig,Blaswich,Torwart,19,"2,38",84%,100%,1790000
33434,09/01/2023,RB Leipzig,Simakan,Abwehr,31,"3,10",85%,50%,2870000
33433,09/01/2023,RB Leipzig,Gvardiol,Abwehr,22,"1,69",90%,60%,5390000
