Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,20/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1610000
33671,20/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,20/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2270000
33021,20/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6990000
33660,20/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7690000
33605,20/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4650000
33386,20/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,810000
33349,20/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,230000
33074,20/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2380000
32742,20/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6490000
32720,20/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7050000
33547,20/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,430000
32590,20/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3520000
33236,20/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,17300000
32187,20/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11110000
32445,20/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16660000
33626,20/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1860000
33662,20/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4340000
33633,20/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14560000
32272,20/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14000000
32696,20/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14480000
32518,20/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8720000
31165,20/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14270000
31362,20/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12330000
32638,20/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3370000
32841,20/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,20/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,170000
33396,20/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,190000
33038,20/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7580000
33137,20/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1140000
33259,20/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2270000
33432,20/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,170000
