Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,05/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,870000
33671,05/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,210000
31216,05/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2450000
33021,05/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7120000
33660,05/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6870000
33605,05/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4410000
33386,05/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,820000
33349,05/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,05/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2190000
32742,05/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,5720000
32720,05/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7150000
33547,05/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,420000
32590,05/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2780000
33236,05/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,19000000
32187,05/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11620000
32445,05/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16980000
33626,05/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1850000
33662,05/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4910000
33633,05/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13350000
32272,05/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13220000
32696,05/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16140000
32518,05/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8990000
31165,05/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15770000
31362,05/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11420000
32638,05/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3470000
32841,05/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
