Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,03/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,960000
33671,03/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,220000
31216,03/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2400000
33021,03/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7000000
33660,03/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6830000
33605,03/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4630000
33386,03/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,880000
33349,03/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,03/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,1990000
32742,03/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6450000
32720,03/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6980000
33547,03/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,410000
32590,03/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2680000
33236,03/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,19050000
32187,03/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11370000
32445,03/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16260000
33626,03/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1840000
33662,03/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4880000
33633,03/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13220000
32272,03/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,12990000
32696,03/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16030000
32518,03/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8880000
31165,03/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15320000
31362,03/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11470000
32638,03/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3360000
32841,03/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
33036,03/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,270000
33396,03/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,160000
33038,03/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7550000
33137,03/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1030000
33259,03/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2100000
33432,03/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,220000
33509,03/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,03/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,240000
31002,03/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5660000
32632,03/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5810000
32556,03/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,260000
31779,03/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,300000
32122,03/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3680000
32546,03/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2000000
33690,03/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,210000
33608,03/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,390000
32677,03/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2540000
33497,03/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,03/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1020000
33309,03/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13760000
32236,03/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9350000
32208,03/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4380000
33260,03/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,10170000
33687,03/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,370000
33575,03/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4780000
33569,03/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3210000
31454,03/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10170000
33501,03/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4010000
33198,03/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5010000
32197,03/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3970000
32769,03/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,9850000
32342,03/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1860000
32508,03/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2110000
32007,03/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,170000
33479,03/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,180000
33366,03/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,400000
33369,03/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6470000
33125,03/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,360000
33511,03/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2980000
33481,03/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1080000
32157,03/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2610000
33499,03/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,770000
33207,03/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3240000
33449,03/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,210000
