Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,27/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1240000
33671,27/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,27/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2320000
33021,27/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6940000
33660,27/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7310000
33605,27/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,5030000
33386,27/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,870000
33349,27/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33074,27/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2460000
32742,27/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6680000
32720,27/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7480000
33547,27/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,440000
32590,27/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2980000
33236,27/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18900000
32187,27/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11050000
32445,27/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16940000
33626,27/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1970000
33662,27/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4130000
33633,27/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13480000
32272,27/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13630000
32696,27/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14890000
32518,27/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8950000
31165,27/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15330000
31362,27/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12130000
32638,27/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3360000
32841,27/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,230000
33036,27/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,410000
33396,27/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,180000
33038,27/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7060000
33137,27/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1170000
33259,27/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2190000
33432,27/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,180000
33509,27/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,220000
33567,27/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,230000
31002,27/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5580000
32632,27/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,6060000
32556,27/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,240000
31779,27/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,310000
32122,27/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3650000
32546,27/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2040000
33690,27/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,240000
33608,27/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,430000
32677,27/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2820000
33497,27/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,180000
31935,27/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1140000
33309,27/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13530000
32236,27/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9450000
32208,27/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4660000
33260,27/12/2022,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9940000
33687,27/12/2022,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,430000
