Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,07/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,930000
33671,07/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,210000
31216,07/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2130000
33021,07/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7190000
33074,07/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,1960000
33349,07/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33386,07/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,830000
33605,07/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4280000
33660,07/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6930000
32742,07/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6430000
32720,07/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7190000
33703,07/01/2023,FC Bayern München,Blind,Abwehr,0,-,-,-,5740000
33626,07/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1740000
32187,07/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11760000
33547,07/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,400000
32445,07/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16870000
33236,07/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,19200000
32590,07/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2850000
32272,07/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13520000
32518,07/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8720000
33633,07/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,12840000
31362,07/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11640000
33662,07/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4730000
31165,07/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,16620000
32696,07/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16230000
32638,07/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3610000
32841,07/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,230000
33036,07/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,210000
33396,07/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,07/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7640000
33137,07/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,870000
33259,07/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2090000
33432,07/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,220000
33509,07/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,220000
33567,07/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,07/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5730000
32632,07/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5820000
32556,07/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,260000
31779,07/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,07/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3790000
32546,07/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,1950000
33690,07/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,220000
33608,07/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,350000
32677,07/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2800000
33497,07/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,160000
31935,07/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1020000
33309,07/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,12220000
32236,07/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9460000
32208,07/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4230000
33260,07/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,10690000
33687,07/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,350000
33575,07/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4590000
33569,07/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3380000
31454,07/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10400000
33501,07/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,3970000
33198,07/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,4330000
32197,07/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3820000
32769,07/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,11610000
32342,07/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,2000000
32508,07/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,1900000
32007,07/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,180000
33479,07/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,170000
33366,07/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,390000
33369,07/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6660000
33125,07/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,320000
33511,07/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2530000
33481,07/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1050000
32157,07/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2450000
33499,07/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,760000
33207,07/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3270000
33449,07/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,200000
33483,07/01/2023,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,190000
33189,07/01/2023,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,4020000
33614,07/01/2023,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,210000
32512,07/01/2023,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1070000
32395,07/01/2023,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2660000
32155,07/01/2023,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,5090000
32129,07/01/2023,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3630000
33215,07/01/2023,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,15440000
33556,07/01/2023,Bayer Leverkusen,Azmoun,Sturm,10,"1,25",59%,38%,1650000
33619,07/01/2023,Bayer Leverkusen,Hložek,Sturm,31,"2,38",83%,39%,3110000
33514,07/01/2023,Bayer Leverkusen,Adli,Sturm,11,"1,38",83%,37%,1520000
31764,07/01/2023,Bayer Leverkusen,Bellarabi,Sturm,0,"0,00",62%,50%,1290000
33179,07/01/2023,Bayer Leverkusen,Schick,Sturm,22,"2,00",71%,43%,9480000
33122,07/01/2023,Bayer Leverkusen,Diaby,Sturm,78,"5,20",81%,38%,12140000
33680,07/01/2023,Bayer Leverkusen,Hudson-Odoi,Sturm,18,"2,00",88%,58%,4120000
33663,07/01/2023,RB Leipzig,Nickisch,Torwart,0,-,-,-,160000
32575,07/01/2023,RB Leipzig,Gulácsi,Torwart,15,"2,50",85%,-,710000
32481,07/01/2023,RB Leipzig,Nyland,Torwart,5,"5,00",88%,-,260000
33664,07/01/2023,RB Leipzig,Schlieck,Torwart,0,-,-,-,160000
31827,07/01/2023,RB Leipzig,Blaswich,Torwart,19,"2,38",84%,100%,1790000
33434,07/01/2023,RB Leipzig,Simakan,Abwehr,31,"3,10",85%,50%,2870000
33433,07/01/2023,RB Leipzig,Gvardiol,Abwehr,22,"1,69",90%,60%,5340000
32824,07/01/2023,RB Leipzig,Diallo,Abwehr,24,"4,80",86%,56%,3370000
33436,07/01/2023,RB Leipzig,Raum,Abwehr,29,"2,07",81%,46%,4200000
33679,07/01/2023,RB Leipzig,Ba,Abwehr,0,-,-,-,320000
32581,07/01/2023,RB Leipzig,Klostermann,Abwehr,2,"2,00",75%,71%,2520000
32580,07/01/2023,RB Leipzig,Halstenberg,Abwehr,26,"2,17",85%,56%,2070000
32461,07/01/2023,RB Leipzig,Henrichs,Abwehr,32,"2,29",73%,61%,2050000
31846,07/01/2023,RB Leipzig,Orbán,Abwehr,82,"5,47",89%,62%,8210000
