Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,29/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1220000
33671,29/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,29/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2220000
33021,29/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6950000
33660,29/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7250000
33605,29/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,5060000
33386,29/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,910000
33349,29/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33074,29/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2450000
32742,29/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6590000
32720,29/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7570000
33547,29/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,430000
32590,29/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3100000
33236,29/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18480000
32187,29/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11100000
32445,29/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,17440000
33626,29/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1950000
33662,29/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4440000
33633,29/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13620000
32272,29/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13500000
32696,29/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,15510000
32518,29/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,9090000
31165,29/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15580000
31362,29/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12150000
32638,29/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3370000
32841,29/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,29/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,360000
33396,29/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,29/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7220000
33137,29/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1120000
33259,29/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2080000
33432,29/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,190000
33509,29/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,29/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,240000
31002,29/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5680000
32632,29/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,6370000
32556,29/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,230000
31779,29/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,310000
32122,29/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3740000
32546,29/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2080000
