Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,28/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1170000
33671,28/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,28/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2320000
33021,28/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6940000
33660,28/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7250000
33605,28/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,5020000
33386,28/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,910000
33349,28/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33074,28/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2420000
32742,28/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6570000
32720,28/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7520000
33547,28/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,420000
32590,28/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2990000
33236,28/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18480000
32187,28/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11060000
32445,28/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,17460000
33626,28/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1930000
33662,28/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4440000
33633,28/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13360000
32272,28/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13420000
32696,28/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,15510000
32518,28/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,9000000
31165,28/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15370000
31362,28/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12120000
32638,28/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3370000
32841,28/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,28/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,380000
33396,28/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,28/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7210000
33137,28/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1160000
33259,28/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2080000
33432,28/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,180000
33509,28/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,28/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,230000
31002,28/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5660000
32632,28/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,6370000
32556,28/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,240000
31779,28/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,28/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3710000
32546,28/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2020000
33690,28/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,230000
33608,28/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,440000
