Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,16/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1990000
33671,16/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,260000
31216,16/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,1950000
33021,16/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6880000
33660,16/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7210000
33605,16/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4890000
33386,16/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,830000
33349,16/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,16/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2730000
32742,16/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6390000
32720,16/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6670000
33547,16/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,460000
32590,16/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3510000
33236,16/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,16490000
32187,16/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11520000
32445,16/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,15550000
33626,16/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1730000
33662,16/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,3990000
33633,16/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14800000
32272,16/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14700000
32696,16/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,13670000
32518,16/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8960000
31165,16/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,13530000
