Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,30/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1150000
33671,30/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,30/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2290000
33021,30/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6880000
33660,30/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7270000
33605,30/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,5070000
33386,30/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,910000
33349,30/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,190000
33074,30/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2420000
32742,30/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6660000
32720,30/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7320000
33547,30/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,410000
32590,30/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3100000
33236,30/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18790000
32187,30/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11040000
32445,30/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,17550000
33626,30/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1930000
33662,30/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4510000
33633,30/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13600000
32272,30/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,12710000
32696,30/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,15930000
32518,30/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,9090000
31165,30/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15620000
31362,30/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11580000
32638,30/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3400000
32841,30/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,30/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,340000
33396,30/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,180000
33038,30/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7330000
33137,30/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1060000
33259,30/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2070000
33432,30/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,190000
33509,30/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,30/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,240000
31002,30/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5670000
32632,30/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,6370000
32556,30/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,240000
31779,30/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,300000
32122,30/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3750000
32546,30/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2090000
33690,30/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,220000
33608,30/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,440000
32677,30/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2600000
33497,30/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,30/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1080000
33309,30/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13390000
32236,30/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9470000
32208,30/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4600000
33260,30/12/2022,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,10010000
33687,30/12/2022,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,390000
33575,30/12/2022,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4680000
33569,30/12/2022,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3110000
31454,30/12/2022,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10030000
33501,30/12/2022,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4330000
33198,30/12/2022,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5540000
32197,30/12/2022,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3930000
32769,30/12/2022,Borussia Dortmund,Haller,Sturm,0,-,-,-,9750000
32342,30/12/2022,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1920000
32508,30/12/2022,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2100000
32007,30/12/2022,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,160000
33479,30/12/2022,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,170000
33366,30/12/2022,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,410000
33369,30/12/2022,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6570000
33125,30/12/2022,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,370000
33511,30/12/2022,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2980000
33481,30/12/2022,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1140000
32157,30/12/2022,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2790000
33499,30/12/2022,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,860000
33207,30/12/2022,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3550000
33449,30/12/2022,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,210000
33483,30/12/2022,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,190000
33189,30/12/2022,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,4220000
33614,30/12/2022,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,230000
32512,30/12/2022,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1160000
32395,30/12/2022,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2860000
32155,30/12/2022,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,4750000
32129,30/12/2022,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3490000
33215,30/12/2022,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,14410000
33556,30/12/2022,Bayer Leverkusen,Azmoun,Sturm,10,"1,25",59%,38%,1640000
33619,30/12/2022,Bayer Leverkusen,Hložek,Sturm,31,"2,38",83%,39%,3090000
33514,30/12/2022,Bayer Leverkusen,Adli,Sturm,11,"1,38",83%,37%,1620000
31764,30/12/2022,Bayer Leverkusen,Bellarabi,Sturm,0,"0,00",62%,50%,1350000
33179,30/12/2022,Bayer Leverkusen,Schick,Sturm,22,"2,00",71%,43%,10790000
33122,30/12/2022,Bayer Leverkusen,Diaby,Sturm,78,"5,20",81%,38%,12580000
33680,30/12/2022,Bayer Leverkusen,Hudson-Odoi,Sturm,18,"2,00",88%,58%,3980000
33663,30/12/2022,RB Leipzig,Nickisch,Torwart,0,-,-,-,170000
32575,30/12/2022,RB Leipzig,Gulácsi,Torwart,15,"2,50",85%,-,850000
32481,30/12/2022,RB Leipzig,Nyland,Torwart,5,"5,00",88%,-,250000
33664,30/12/2022,RB Leipzig,Schlieck,Torwart,0,-,-,-,160000
31827,30/12/2022,RB Leipzig,Blaswich,Torwart,19,"2,38",84%,100%,1810000
33434,30/12/2022,RB Leipzig,Simakan,Abwehr,31,"3,10",85%,50%,3000000
33433,30/12/2022,RB Leipzig,Gvardiol,Abwehr,22,"1,69",90%,60%,5310000
32824,30/12/2022,RB Leipzig,Diallo,Abwehr,24,"4,80",86%,56%,3300000
33436,30/12/2022,RB Leipzig,Raum,Abwehr,29,"2,07",81%,46%,4540000
33679,30/12/2022,RB Leipzig,Ba,Abwehr,0,-,-,-,350000
32581,30/12/2022,RB Leipzig,Klostermann,Abwehr,2,"2,00",75%,71%,3220000
32580,30/12/2022,RB Leipzig,Halstenberg,Abwehr,26,"2,17",85%,56%,2380000
32461,30/12/2022,RB Leipzig,Henrichs,Abwehr,32,"2,29",73%,61%,1990000
31846,30/12/2022,RB Leipzig,Orbán,Abwehr,82,"5,47",89%,62%,7970000
33540,30/12/2022,RB Leipzig,Clark,Mittelfeld,0,-,-,-,230000
33363,30/12/2022,RB Leipzig,Szoboszlai,Mittelfeld,63,"4,85",83%,47%,11490000
33200,30/12/2022,RB Leipzig,Dani Olmo,Mittelfeld,35,"3,50",80%,45%,9890000
31612,30/12/2022,RB Leipzig,Kampl,Mittelfeld,28,"2,00",91%,45%,1620000
32589,30/12/2022,RB Leipzig,Forsberg,Mittelfeld,29,"2,42",86%,46%,3760000
32800,30/12/2022,RB Leipzig,Laimer,Mittelfeld,7,"1,75",77%,50%,5260000
33023,30/12/2022,RB Leipzig,Haidara,Mittelfeld,16,"1,33",83%,30%,1560000
33133,30/12/2022,RB Leipzig,Schlager,Mittelfeld,26,"2,36",87%,46%,3310000
33151,30/12/2022,RB Leipzig,Nkunku,Sturm,102,"6,80",82%,43%,16810000
32591,30/12/2022,RB Leipzig,Y. Poulsen,Sturm,7,"1,17",42%,55%,1930000
33330,30/12/2022,RB Leipzig,Hugo Novoa,Sturm,11,"1,83",73%,41%,690000
32211,30/12/2022,RB Leipzig,Werner,Sturm,34,"3,78",75%,31%,11540000
33180,30/12/2022,RB Leipzig,André Silva,Sturm,40,"2,86",74%,41%,7290000
33257,30/12/2022,FC Union Berlin,L. Grill,Torwart,-5,"-1,25",66%,67%,240000
33091,30/12/2022,FC Union Berlin,Busk,Torwart,0,-,-,-,160000
32921,30/12/2022,FC Union Berlin,Rönnow,Torwart,42,"3,82",67%,75%,2710000
32883,30/12/2022,FC Union Berlin,Jaeckel,Abwehr,19,"1,90",80%,42%,600000
33141,30/12/2022,FC Union Berlin,Ryerson,Abwehr,34,"2,62",73%,49%,1940000
32340,30/12/2022,FC Union Berlin,Baumgartl,Abwehr,5,"1,25",83%,62%,850000
31864,30/12/2022,FC Union Berlin,Knoche,Abwehr,38,"2,71",81%,60%,2950000
33442,30/12/2022,FC Union Berlin,Puchacz,Abwehr,1,"1,00",73%,33%,430000
33609,30/12/2022,FC Union Berlin,Doekhi,Abwehr,26,"4,33",81%,61%,1910000
33659,30/12/2022,FC Union Berlin,Diogo Leite,Abwehr,26,"2,00",80%,57%,2060000
32057,30/12/2022,FC Union Berlin,Gießelmann,Abwehr,28,"2,55",75%,45%,1330000
33096,30/12/2022,FC Union Berlin,Trimmel,Abwehr,32,"2,46",64%,47%,1770000
33470,30/12/2022,FC Union Berlin,F. Schneider,Mittelfeld,0,-,-,-,190000
33550,30/12/2022,FC Union Berlin,Schäfer,Mittelfeld,14,"1,27",76%,46%,930000
33131,30/12/2022,FC Union Berlin,Dehl,Mittelfeld,0,-,-,-,230000
32924,30/12/2022,FC Union Berlin,Möhwald,Mittelfeld,0,-,-,-,320000
32073,30/12/2022,FC Union Berlin,R. Khedira,Mittelfeld,26,"1,86",75%,50%,1860000
32185,30/12/2022,FC Union Berlin,Öztunali,Mittelfeld,0,-,-,0%,250000
32251,30/12/2022,FC Union Berlin,Seguin,Mittelfeld,16,"2,29",77%,52%,530000
33661,30/12/2022,FC Union Berlin,Thorsby,Mittelfeld,15,"1,36",68%,44%,600000
32310,30/12/2022,FC Union Berlin,Haberer,Mittelfeld,40,"3,08",69%,39%,2410000
32324,30/12/2022,FC Union Berlin,Haraguchi,Mittelfeld,16,"2,00",81%,69%,530000
32532,30/12/2022,FC Union Berlin,Pantović,Mittelfeld,12,"1,50",69%,48%,520000
33411,30/12/2022,FC Union Berlin,Leweling,Sturm,6,"1,00",88%,41%,620000
33294,30/12/2022,FC Union Berlin,Maciejewski,Sturm,0,-,-,-,200000
32087,30/12/2022,FC Union Berlin,Michel,Sturm,31,"2,82",61%,40%,1390000
33616,30/12/2022,FC Union Berlin,Skarke,Sturm,0,"0,00",71%,27%,2040000
33641,30/12/2022,FC Union Berlin,Jordan,Sturm,48,"3,69",53%,44%,5820000
33135,30/12/2022,FC Union Berlin,S. Becker,Sturm,81,"5,40",69%,29%,8630000
33469,30/12/2022,FC Union Berlin,Behrens,Sturm,40,"2,67",63%,52%,2000000
33439,30/12/2022,SC Freiburg,Atubolu,Torwart,0,-,-,-,180000
32925,30/12/2022,SC Freiburg,Flekken,Torwart,55,"3,67",72%,86%,3710000
31881,30/12/2022,SC Freiburg,Uphoff,Torwart,0,-,-,-,190000
33461,30/12/2022,SC Freiburg,Sildillia,Abwehr,28,"2,00",75%,44%,1480000
33462,30/12/2022,SC Freiburg,Ezekwem,Abwehr,0,-,-,-,200000
32807,30/12/2022,SC Freiburg,Lienhart,Abwehr,43,"2,87",86%,67%,3660000
32597,30/12/2022,SC Freiburg,Kübler,Abwehr,31,"6,20",70%,51%,4040000
33541,30/12/2022,SC Freiburg,Siquet,Abwehr,1,"1,00",83%,75%,200000
32019,30/12/2022,SC Freiburg,C. Günter,Abwehr,40,"2,67",77%,38%,3440000
31910,30/12/2022,SC Freiburg,Ginter,Abwehr,74,"4,93",84%,66%,6910000
31751,30/12/2022,SC Freiburg,J. Schmid,Abwehr,0,-,-,-,400000
31453,30/12/2022,SC Freiburg,Gulde,Abwehr,4,"1,33",83%,50%,400000
32953,30/12/2022,SC Freiburg,K. Schlotterbeck,Abwehr,5,"2,50",100%,100%,2570000
33463,30/12/2022,SC Freiburg,Schade,Mittelfeld,13,"1,63",53%,50%,1890000
33576,30/12/2022,SC Freiburg,R. Wagner,Mittelfeld,0,"0,00",100%,0%,240000
33637,30/12/2022,SC Freiburg,Kyereh,Mittelfeld,17,"1,89",81%,43%,1730000
33458,30/12/2022,SC Freiburg,Weißhaupt ,Mittelfeld,12,"1,50",59%,53%,400000
33211,30/12/2022,SC Freiburg,Keitel,Mittelfeld,12,"1,33",83%,42%,620000
32398,30/12/2022,SC Freiburg,M. Eggestein,Mittelfeld,35,"2,69",79%,55%,2670000
