Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,17/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1900000
33671,17/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,260000
31216,17/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2040000
33021,17/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6600000
33660,17/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7400000
33605,17/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4900000
33386,17/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,850000
33349,17/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,17/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2650000
32742,17/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6300000
32720,17/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6800000
33547,17/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,490000
32590,17/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3680000
33236,17/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,16870000
32187,17/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11510000
32445,17/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,15550000
33626,17/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1880000
33662,17/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4090000
33633,17/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14800000
32272,17/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14700000
32696,17/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,13950000
32518,17/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,9000000
31165,17/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,13530000
31362,17/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11670000
32638,17/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3320000
32841,17/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
33036,17/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,170000
33396,17/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,190000
33038,17/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7490000
33137,17/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1150000
33259,17/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2290000
33432,17/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,190000
33509,17/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,240000
33567,17/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,17/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5620000
32632,17/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5500000
32556,17/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,17/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,17/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,4100000
32546,17/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2380000
33690,17/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,230000
33608,17/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,200000
