Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,23/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1400000
33671,23/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,23/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2360000
33021,23/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6350000
33660,23/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7800000
33605,23/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4800000
33386,23/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,720000
33349,23/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,23/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2210000
32742,23/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6590000
32720,23/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7420000
33547,23/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,480000
32590,23/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3240000
33236,23/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,17460000
32187,23/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11220000
32445,23/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16770000
33626,23/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1930000
33662,23/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,3960000
33633,23/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13400000
32272,23/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14060000
32696,23/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14780000
32518,23/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8800000
31165,23/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14980000
31362,23/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12860000
32638,23/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3410000
32841,23/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,23/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,430000
33396,23/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,180000
33038,23/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7230000
33137,23/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1120000
33259,23/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2260000
33432,23/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,180000
33509,23/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,210000
33567,23/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,270000
31002,23/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5490000
32632,23/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5680000
32556,23/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,240000
31779,23/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,310000
32122,23/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3570000
32546,23/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2290000
33690,23/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,230000
33608,23/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,430000
32677,23/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2880000
33497,23/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,23/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1120000
33309,23/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13370000
32236,23/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9460000
32208,23/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4910000
33260,23/12/2022,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9720000
33687,23/12/2022,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,460000
33575,23/12/2022,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4580000
33569,23/12/2022,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3620000
31454,23/12/2022,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,9850000
33501,23/12/2022,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4680000
33198,23/12/2022,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5360000
32197,23/12/2022,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,4030000
32769,23/12/2022,Borussia Dortmund,Haller,Sturm,0,-,-,-,9050000
32342,23/12/2022,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1930000
32508,23/12/2022,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,1980000
32007,23/12/2022,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,160000
33479,23/12/2022,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,170000
33366,23/12/2022,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,430000
33369,23/12/2022,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6560000
33125,23/12/2022,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,370000
33511,23/12/2022,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,3070000
33481,23/12/2022,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1320000
32157,23/12/2022,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2570000
33499,23/12/2022,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,1000000
33207,23/12/2022,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3190000
33449,23/12/2022,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,190000
33483,23/12/2022,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,170000
33189,23/12/2022,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,4060000
