Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,15/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,2090000
33671,15/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,260000
31216,15/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,1700000
33021,15/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6610000
33660,15/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7350000
33605,15/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4890000
33386,15/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,850000
33349,15/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,230000
33074,15/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2450000
32742,15/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6440000
32720,15/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7010000
33547,15/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,490000
32590,15/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3570000
33236,15/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,16500000
32187,15/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11530000
32445,15/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16260000
33626,15/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1840000
33662,15/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4100000
33633,15/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14800000
32272,15/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13910000
32696,15/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,13700000
32518,15/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8890000
31165,15/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,13340000
31362,15/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11650000
32638,15/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3240000
32841,15/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,15/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,170000
33396,15/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,180000
33038,15/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7480000
