Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,24/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1330000
33671,24/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,24/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2400000
33021,24/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6590000
33660,24/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7800000
33605,24/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4870000
33386,24/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,810000
33349,24/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,24/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2100000
32742,24/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6590000
32720,24/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7440000
33547,24/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,480000
32590,24/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3030000
33236,24/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18110000
32187,24/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,10820000
32445,24/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16780000
33626,24/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1930000
33662,24/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,3960000
33633,24/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13440000
32272,24/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14140000
32696,24/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14790000
32518,24/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8850000
31165,24/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14930000
31362,24/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12850000
32638,24/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3390000
32841,24/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,24/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,430000
33396,24/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,24/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,6900000
33137,24/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1120000
33259,24/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2270000
33432,24/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,180000
33509,24/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,220000
33567,24/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,24/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5540000
32632,24/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5730000
32556,24/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,240000
31779,24/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,24/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3620000
32546,24/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2260000
33690,24/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,230000
33608,24/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,430000
32677,24/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2710000
33497,24/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,180000
31935,24/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1120000
33309,24/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13430000
32236,24/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,8850000
32208,24/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4920000
33260,24/12/2022,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9730000
33687,24/12/2022,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,470000
33575,24/12/2022,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4500000
33569,24/12/2022,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3630000
31454,24/12/2022,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,9850000
33501,24/12/2022,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4410000
33198,24/12/2022,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5360000
32197,24/12/2022,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,4010000
32769,24/12/2022,Borussia Dortmund,Haller,Sturm,0,-,-,-,9310000
32342,24/12/2022,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1920000
32508,24/12/2022,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2010000
32007,24/12/2022,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,170000
33479,24/12/2022,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,160000
33366,24/12/2022,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,420000
33369,24/12/2022,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6670000
33125,24/12/2022,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,370000
33511,24/12/2022,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,3040000
33481,24/12/2022,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1260000
32157,24/12/2022,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2450000
33499,24/12/2022,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,1000000
33207,24/12/2022,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3180000
33449,24/12/2022,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,190000
33483,24/12/2022,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,180000
33189,24/12/2022,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,4070000
33614,24/12/2022,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,240000
32512,24/12/2022,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1160000
32395,24/12/2022,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2740000
32155,24/12/2022,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,4800000
32129,24/12/2022,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3580000
33215,24/12/2022,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,14260000
