Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,18/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1790000
33671,18/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,18/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2130000
33021,18/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6780000
33660,18/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7400000
33605,18/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4830000
33386,18/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,850000
33349,18/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,18/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2520000
32742,18/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6360000
32720,18/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6950000
33547,18/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,470000
32590,18/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3640000
33236,18/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,17150000
32187,18/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11690000
32445,18/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16650000
33626,18/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1880000
33662,18/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4060000
33633,18/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14770000
32272,18/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14690000
32696,18/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14000000
32518,18/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8950000
31165,18/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14270000
