Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,21/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1530000
33671,21/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,21/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2340000
33021,21/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6660000
33660,21/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7690000
33605,21/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4660000
33386,21/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,770000
33349,21/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,21/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2260000
32742,21/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6560000
32720,21/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7050000
33547,21/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,430000
32590,21/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3290000
33236,21/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,16810000
32187,21/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11080000
32445,21/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16760000
33626,21/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1860000
33662,21/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4190000
33633,21/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14560000
32272,21/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14110000
32696,21/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14480000
32518,21/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8730000
31165,21/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14650000
31362,21/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12470000
32638,21/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3370000
