Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,10/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,810000
33671,10/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,210000
31216,10/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2140000
33021,10/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7210000
33074,10/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,1680000
33349,10/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33386,10/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,880000
33605,10/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,3620000
33660,10/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7470000
32742,10/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6610000
32720,10/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6990000
33703,10/01/2023,FC Bayern München,Blind,Abwehr,0,-,-,-,8300000
33626,10/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1790000
32187,10/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11900000
33547,10/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,400000
32445,10/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16820000
33236,10/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18320000
32590,10/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2830000
32272,10/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13610000
32518,10/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8720000
33633,10/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,12490000
31362,10/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11610000
33662,10/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4680000
31165,10/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15970000
32696,10/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16320000
32638,10/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3740000
32841,10/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,10/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,180000
33396,10/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,10/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7930000
33137,10/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,850000
33259,10/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2060000
33432,10/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,200000
33509,10/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,210000
33567,10/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,260000
31002,10/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5690000
32632,10/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5820000
32556,10/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,10/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,310000
32122,10/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,4000000
32546,10/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,1790000
33690,10/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,220000
33608,10/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,320000
32677,10/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2950000
33497,10/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,10/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1020000
33309,10/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,12800000
32236,10/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,8620000
32208,10/01/2023,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4450000
33260,10/01/2023,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9290000
33687,10/01/2023,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,320000
33575,10/01/2023,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4660000
33569,10/01/2023,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3370000
31454,10/01/2023,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,10520000
33501,10/01/2023,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,3790000
33198,10/01/2023,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,4300000
32197,10/01/2023,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,3640000
32769,10/01/2023,Borussia Dortmund,Haller,Sturm,0,-,-,-,13040000
32342,10/01/2023,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1830000
32508,10/01/2023,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,1960000
32007,10/01/2023,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,160000
33479,10/01/2023,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,160000
33366,10/01/2023,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,390000
33369,10/01/2023,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6720000
33125,10/01/2023,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,310000
33511,10/01/2023,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,2760000
33481,10/01/2023,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1090000
32157,10/01/2023,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2590000
33499,10/01/2023,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,830000
33207,10/01/2023,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3290000
33449,10/01/2023,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,200000
33483,10/01/2023,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,180000
33189,10/01/2023,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,3950000
33614,10/01/2023,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,210000
32512,10/01/2023,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1010000
32395,10/01/2023,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2590000
32155,10/01/2023,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,4790000
32129,10/01/2023,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3670000
33215,10/01/2023,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,15580000
33556,10/01/2023,Bayer Leverkusen,Azmoun,Sturm,10,"1,25",59%,38%,1880000
33619,10/01/2023,Bayer Leverkusen,Hložek,Sturm,31,"2,38",83%,39%,3580000
33514,10/01/2023,Bayer Leverkusen,Adli,Sturm,11,"1,38",83%,37%,1710000
31764,10/01/2023,Bayer Leverkusen,Bellarabi,Sturm,0,"0,00",62%,50%,1220000
33179,10/01/2023,Bayer Leverkusen,Schick,Sturm,22,"2,00",71%,43%,9220000
33122,10/01/2023,Bayer Leverkusen,Diaby,Sturm,78,"5,20",81%,38%,12480000
33680,10/01/2023,Bayer Leverkusen,Hudson-Odoi,Sturm,18,"2,00",88%,58%,4370000
33663,10/01/2023,RB Leipzig,Nickisch,Torwart,0,-,-,-,160000
32575,10/01/2023,RB Leipzig,Gulácsi,Torwart,15,"2,50",85%,-,610000
32481,10/01/2023,RB Leipzig,Nyland,Torwart,5,"5,00",88%,-,230000
33664,10/01/2023,RB Leipzig,Schlieck,Torwart,0,-,-,-,160000
31827,10/01/2023,RB Leipzig,Blaswich,Torwart,19,"2,38",84%,100%,1760000
33434,10/01/2023,RB Leipzig,Simakan,Abwehr,31,"3,10",85%,50%,2840000
33433,10/01/2023,RB Leipzig,Gvardiol,Abwehr,22,"1,69",90%,60%,4940000
32824,10/01/2023,RB Leipzig,Diallo,Abwehr,24,"4,80",86%,56%,3430000
33436,10/01/2023,RB Leipzig,Raum,Abwehr,29,"2,07",81%,46%,4250000
33679,10/01/2023,RB Leipzig,Ba,Abwehr,0,-,-,-,290000
