Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,19/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1680000
33671,19/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,19/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2190000
33021,19/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6840000
33660,19/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7460000
33605,19/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4760000
33386,19/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,810000
33349,19/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,220000
33074,19/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2480000
32742,19/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6490000
32720,19/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6950000
33547,19/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,440000
32590,19/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3370000
33236,19/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,17290000
32187,19/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,10880000
32445,19/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16650000
33626,19/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1870000
33662,19/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,3790000
33633,19/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,14250000
32272,19/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14550000
32696,19/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,13740000
32518,19/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,9020000
31165,19/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,14270000
31362,19/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12330000
32638,19/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3190000
32841,19/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
33036,19/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,160000
33396,19/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,190000
33038,19/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7560000
33137,19/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1140000
33259,19/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2210000
33432,19/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,170000
33509,19/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,19/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,270000
31002,19/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5830000
32632,19/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5560000
32556,19/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,19/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,19/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,4010000
32546,19/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2280000
33690,19/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,230000
33608,19/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,200000
32677,19/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2630000
33497,19/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,19/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1170000
33309,19/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13160000
32236,19/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9940000
32208,19/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4830000
