Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,06/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,940000
33671,06/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,210000
31216,06/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2290000
33021,06/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7150000
33074,06/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2080000
33349,06/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33386,06/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,780000
33605,06/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4300000
33660,06/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6930000
32742,06/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,5940000
32720,06/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7160000
33703,06/01/2023,FC Bayern München,Blind,Abwehr,0,-,-,-,5000000
33626,06/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1860000
32187,06/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11750000
33547,06/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,400000
32445,06/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16760000
33236,06/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,19030000
32590,06/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2850000
32272,06/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13520000
32518,06/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8920000
33633,06/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,12880000
31362,06/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11720000
33662,06/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4940000
31165,06/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,17000000
32696,06/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16200000
32638,06/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3610000
32841,06/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
33036,06/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,230000
33396,06/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,06/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7690000
33137,06/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,930000
33259,06/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,1990000
33432,06/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,220000
33509,06/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,230000
33567,06/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,250000
31002,06/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5670000
32632,06/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5910000
32556,06/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,270000
31779,06/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,300000
32122,06/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3800000
32546,06/01/2023,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2000000
33690,06/01/2023,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,210000
33608,06/01/2023,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,370000
32677,06/01/2023,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2710000
33497,06/01/2023,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,170000
31935,06/01/2023,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1060000
33309,06/01/2023,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13210000
32236,06/01/2023,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9460000
