Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,25/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1270000
33671,25/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,25/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2340000
33021,25/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6670000
33660,25/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7460000
33605,25/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4970000
33386,25/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,870000
33349,25/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,25/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2350000
32742,25/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6610000
32720,25/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7440000
33547,25/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,490000
32590,25/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,3040000
33236,25/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18010000
32187,25/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11090000
32445,25/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16920000
33626,25/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1960000
33662,25/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,3970000
33633,25/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13500000
32272,25/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14230000
