Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,04/01/2023,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,920000
33671,04/01/2023,FC Bayern München,Schenk,Torwart,0,-,-,-,220000
31216,04/01/2023,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2400000
33021,04/01/2023,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,7110000
33660,04/01/2023,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,6850000
33605,04/01/2023,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,4410000
33386,05/01/2023,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,870000
33349,05/01/2023,FC Bayern München,Sarr,Abwehr,0,-,-,-,210000
33074,05/01/2023,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2250000
32742,05/01/2023,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6230000
32720,05/01/2023,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,6990000
33547,05/01/2023,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,410000
32590,05/01/2023,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2720000
33236,05/01/2023,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,18990000
32187,05/01/2023,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11450000
32445,05/01/2023,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16320000
33626,05/01/2023,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1840000
33662,05/01/2023,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4880000
33633,05/01/2023,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13380000
32272,05/01/2023,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,13220000
32696,05/01/2023,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,16120000
32518,05/01/2023,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8920000
31165,05/01/2023,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15810000
31362,05/01/2023,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,11500000
32638,05/01/2023,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3410000
32841,05/01/2023,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,250000
33036,05/01/2023,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,260000
33396,05/01/2023,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,05/01/2023,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7550000
33137,05/01/2023,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1050000
33259,05/01/2023,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2180000
33432,05/01/2023,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,220000
33509,05/01/2023,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,240000
33567,05/01/2023,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,240000
31002,05/01/2023,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5680000
32632,05/01/2023,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,5900000
32556,05/01/2023,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,260000
31779,05/01/2023,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,300000
32122,05/01/2023,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3730000
